GENERATION_PROJECT	timepoint	gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01	2020012300	0.0
Oahu_CentralTrackingPV_PV_01	2020012302	0.0
Oahu_CentralTrackingPV_PV_01	2020012304	0.0
Oahu_CentralTrackingPV_PV_01	2020012306	0.0
Oahu_CentralTrackingPV_PV_01	2020012308	0.163145
Oahu_CentralTrackingPV_PV_01	2020012310	0.380489
Oahu_CentralTrackingPV_PV_01	2020012312	0.548557
Oahu_CentralTrackingPV_PV_01	2020012314	0.552892
Oahu_CentralTrackingPV_PV_01	2020012316	0.231572
Oahu_CentralTrackingPV_PV_01	2020012318	0.0
Oahu_CentralTrackingPV_PV_01	2020012320	0.0
Oahu_CentralTrackingPV_PV_01	2020012322	0.0
Oahu_CentralTrackingPV_PV_01	2020022300	0.0
Oahu_CentralTrackingPV_PV_01	2020022302	0.0
Oahu_CentralTrackingPV_PV_01	2020022304	0.0
Oahu_CentralTrackingPV_PV_01	2020022306	0.0
Oahu_CentralTrackingPV_PV_01	2020022308	0.671974
Oahu_CentralTrackingPV_PV_01	2020022310	0.46955
Oahu_CentralTrackingPV_PV_01	2020022312	0.930673
Oahu_CentralTrackingPV_PV_01	2020022314	0.94208
Oahu_CentralTrackingPV_PV_01	2020022316	0.929635
Oahu_CentralTrackingPV_PV_01	2020022318	0.0
Oahu_CentralTrackingPV_PV_01	2020022320	0.0
Oahu_CentralTrackingPV_PV_01	2020022322	0.0
Oahu_CentralTrackingPV_PV_01	2020032300	0.0
Oahu_CentralTrackingPV_PV_01	2020032302	0.0
Oahu_CentralTrackingPV_PV_01	2020032304	0.0
Oahu_CentralTrackingPV_PV_01	2020032306	0.0
Oahu_CentralTrackingPV_PV_01	2020032308	0.948136
Oahu_CentralTrackingPV_PV_01	2020032310	0.970452
Oahu_CentralTrackingPV_PV_01	2020032312	0.981279
Oahu_CentralTrackingPV_PV_01	2020032314	1.0
Oahu_CentralTrackingPV_PV_01	2020032316	0.675297
Oahu_CentralTrackingPV_PV_01	2020032318	0.0253741
Oahu_CentralTrackingPV_PV_01	2020032320	0.0
